symbol,name,turnover_amount,date,close,buy_signal,add_on_signal,sell_signal,sell_reason,action,signal_age,holding_days,position_state,atr_stop_price,atr_stop_signal,entry_signal_type,execution_advice,score,volume_ratio,rsi,market_filter_passed,market_add_on_passed,market_regime,market_breadth,market_regime_level,market_filter_source,market_reason,execution_priority,execution_priority_rank
603220,中贝通信,2199462767.0,2026-04-24,31.95,False,False,True,突破失败快退,卖出,0.0,0.0,待卖出,28.39,False,突破买入,今天收盘出现卖点（突破失败快退），默认按下一交易日开盘执行离场。,68.97,1.61,65.59,False,False,风险关,0.7273,0,指数+宽度,指数状态 风险关；指数 000300 未站稳 MA60；趋势广度 73%,快退,0
002980,华盛昌,1763321252.6,2026-04-24,82.25,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,239.34,1.33,79.05,False,False,风险关,0.7273,0,指数+宽度,指数状态 风险关；指数 000300 未站稳 MA60；趋势广度 73%,观察,4
603538,美诺华,2636169434.0,2026-04-24,57.77,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,226.82,0.9,75.08,False,False,风险关,0.7273,0,指数+宽度,指数状态 风险关；指数 000300 未站稳 MA60；趋势广度 73%,观察,4
301396,宏景科技,2772004021.55,2026-04-24,332.9,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,223.23,0.91,86.87,False,False,风险关,0.7273,0,指数+宽度,指数状态 风险关；指数 000300 未站稳 MA60；趋势广度 73%,观察,4
600396,华电辽能,3171383749.0,2026-04-24,9.22,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,180.96,1.45,64.74,False,False,风险关,0.7273,0,指数+宽度,指数状态 风险关；指数 000300 未站稳 MA60；趋势广度 73%,观察,4
688268,华特气体,2335241142.0,2026-04-24,176.8,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,168.54,1.24,79.07,False,False,风险关,0.7273,0,指数+宽度,指数状态 风险关；指数 000300 未站稳 MA60；趋势广度 73%,观察,4
300390,天华新能,6381456969.63,2026-04-24,91.12,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,160.57,1.42,77.95,False,False,风险关,0.7273,0,指数+宽度,指数状态 风险关；指数 000300 未站稳 MA60；趋势广度 73%,观察,4
002428,云南锗业,8057479739.43,2026-04-24,77.22,False,False,False,,持仓,,0.0,持仓,63.82,False,突破买入,当前按系统仍处于持仓状态，已持有 0 个交易日，继续持有并跟踪风控价。 当前 ATR 风控价约为 63.82。,147.24,1.33,87.66,False,False,风险关,0.7273,0,指数+宽度,指数状态 风险关；指数 000300 未站稳 MA60；趋势广度 73%,观察,4
603738,泰晶科技,2814782290.0,2026-04-24,39.96,False,False,False,,观察,,,空仓,,False,,当前没有新的执行信号，继续观察。,146.9,1.7,86.3,False,False,风险关,0.7273,0,指数+宽度,指数状态 风险关；指数 000300 未站稳 MA60；趋势广度 73%,观察,4
002297,博云新材,2225217123.24,2026-04-23,22.24,True,False,False,,买入,0.0,,待买入,,False,突破买入,市场环境当前为风险关，趋势广度 73%，暂不建议开新仓，优先等待环境回暖。,143.87,3.63,92.5,False,False,风险关,0.7273,0,指数+宽度,指数状态 风险关；指数 000300 未站稳 MA60；趋势广度 73%,观察,4
